signal_date,engine,engine_version,ticker,score,label,rank
2026-06-19,bundle,aa2e590339,WDC,0.686422,STRONG_BUY,1
2026-06-19,bundle,aa2e590339,CRDO,0.669912,STRONG_BUY,2
2026-06-19,bundle,aa2e590339,CELH,0.63546,STRONG_BUY,3
2026-06-19,bundle,aa2e590339,INTC,0.428756,BUY,4
2026-06-19,bundle,aa2e590339,CRWV,0.400751,BUY,5
2026-06-19,bundle,aa2e590339,Q,0.397511,BUY,6
2026-06-19,bundle,aa2e590339,APH,0.379971,BUY,7
2026-06-19,bundle,aa2e590339,KO,0.376795,BUY,8
2026-06-19,bundle,aa2e590339,ONTO,0.341684,BUY,9
2026-06-19,bundle,aa2e590339,AMPG,0.258768,BUY,10
2026-06-19,bundle,aa2e590339,ELVR,0.244406,BUY,11
2026-06-19,bundle,aa2e590339,DRAM,0.221241,BUY,12
2026-06-19,bundle,aa2e590339,SOLS,0.165416,BUY,13
2026-06-19,bundle,aa2e590339,WULF,0.155993,BUY,14
2026-06-19,bundle,aa2e590339,NBIS,0.15055,BUY,15
2026-06-19,bundle,aa2e590339,ASMU,0.136136,BUY,16
2026-06-19,bundle,aa2e590339,AIPO,0.074488,BUY,17
2026-06-19,bundle,aa2e590339,ARM,0.071894,BUY,18
2026-06-19,baseline,d8db114bc8,O,0.746262,STRONG_BUY,1
2026-06-19,baseline,d8db114bc8,CRDO,0.734145,STRONG_BUY,2
2026-06-19,baseline,d8db114bc8,CELH,0.717608,STRONG_BUY,3
2026-06-19,baseline,d8db114bc8,WDC,0.683558,STRONG_BUY,4
2026-06-19,baseline,d8db114bc8,INTC,0.492783,BUY,5
2026-06-19,baseline,d8db114bc8,KO,0.473899,BUY,6
2026-06-19,baseline,d8db114bc8,Q,0.436661,BUY,7
2026-06-19,baseline,d8db114bc8,CRWV,0.431699,BUY,8
2026-06-19,baseline,d8db114bc8,NFLX,0.425037,BUY,9
2026-06-19,baseline,d8db114bc8,ONTO,0.370236,BUY,10
2026-06-19,baseline,d8db114bc8,NEE,0.301033,BUY,11
2026-06-19,baseline,d8db114bc8,ELVR,0.292897,BUY,12
2026-06-19,baseline,d8db114bc8,AMPG,0.287351,BUY,13
2026-06-19,baseline,d8db114bc8,APH,0.260064,BUY,14
2026-06-19,baseline,d8db114bc8,DRAM,0.237825,BUY,15
2026-06-19,baseline,d8db114bc8,WULF,0.178104,BUY,16
2026-06-19,baseline,d8db114bc8,SOLS,0.120868,BUY,17
2026-06-19,baseline,d8db114bc8,NBIS,0.10006,BUY,18
2026-06-19,baseline,d8db114bc8,ASMU,0.088588,BUY,19
2026-06-19,baseline,d8db114bc8,AIPO,0.07671,BUY,20
2026-06-19,baseline,d8db114bc8,ARM,0.023283,BUY,21
